Iterations,C++,Js
1,0.096,0.048
10,0.008,0.007
100,0.005,0.007
1000,0.006,0.027
10000,0.018,0.242
100000,0.134,3.066
1000000,1.304,1.633
10000000,12.739,15.592
100000000,103.655,162.037
1000000000,984.888,1619.399
